"filename", "language", "Python", "Markdown", "MS SQL", "comment", "blank", "total"
"d:\Exam-paper\backend\app\routers\legend.py", "Python", 23, 0, 0, 0, 8, 31
"d:\Exam-paper\backend\app\routers\mindmap.py", "Python", 146, 0, 0, 0, 12, 158
"d:\Exam-paper\backend\app\routers\ocr.py", "Python", 24, 0, 0, 0, 8, 32
"d:\Exam-paper\backend\app\routers\question_types.py", "Python", 49, 0, 0, 28, 23, 100
"d:\Exam-paper\backend\app\routers\questions.py", "Python", 58, 0, 0, 19, 19, 96
"d:\Exam-paper\backend\app\routers\subjects.py", "Python", 49, 0, 0, 28, 23, 100
"d:\Exam-paper\backend\app\routers\tags.py", "Python", 49, 0, 0, 28, 23, 100
"d:\Exam-paper\backend\app\routers\translation.py", "Python", 79, 0, 0, 0, 15, 94
"d:\Exam-paper\backend\app\routers\workroom.py", "Python", 106, 0, 0, 0, 22, 128
"d:\Exam-paper\backend\app\routers\workspace.py", "Python", 69, 0, 0, 0, 14, 83
"d:\Exam-paper\backend\app\schemas.py", "Python", 257, 0, 0, 0, 94, 351
"d:\Exam-paper\backend\app\services\__init__.py", "Python", 49, 0, 0, 1, 14, 64
"d:\Exam-paper\backend\app\services\agent_service.py", "Python", 1035, 0, 0, 85, 115, 1235
"d:\Exam-paper\backend\app\services\answer_completion_service.py", "Python", 100, 0, 0, 14, 24, 138
"d:\Exam-paper\backend\app\services\bailian_file_service.py", "Python", 178, 0, 0, 1, 17, 196
"d:\Exam-paper\backend\app\services\cache_manager.py", "Python", 96, 0, 0, 1, 14, 111
"d:\Exam-paper\backend\app\services\conversation_memory_service.py", "Python", 141, 0, 0, 27, 24, 192
"d:\Exam-paper\backend\app\services\document_read_tool.py", "Python", 95, 0, 0, 11, 19, 125
"d:\Exam-paper\backend\app\services\favorite_service.py", "Python", 208, 0, 0, 74, 34, 316
"d:\Exam-paper\backend\app\services\flashcard_pipeline_service.py", "Python", 409, 0, 0, 99, 82, 590
"d:\Exam-paper\backend\app\services\flashcard_scheduling_service.py", "Python", 251, 0, 0, 35, 48, 334
"d:\Exam-paper\backend\app\services\flashcard_service.py", "Python", 143, 0, 0, 128, 27, 298
"d:\Exam-paper\backend\app\services\fulltext_service.py", "Python", 117, 0, 0, 16, 29, 162
"d:\Exam-paper\backend\app\services\kb\__init__.py", "Python", 7, 0, 0, 0, 2, 9
"d:\Exam-paper\backend\app\services\kb\chunk_builders.py", "Python", 135, 0, 0, 0, 19, 154
"d:\Exam-paper\backend\app\services\kb\embedding_service.py", "Python", 16, 0, 0, 0, 7, 23
"d:\Exam-paper\backend\app\services\kb\extractors\__init__.py", "Python", 4, 0, 0, 0, 2, 6
"d:\Exam-paper\backend\app\services\kb\extractors\image_extractor.py", "Python", 13, 0, 0, 0, 6, 19
"d:\Exam-paper\backend\app\services\kb\extractors\pdf_extractor.py", "Python", 42, 0, 0, 0, 7, 49
"d:\Exam-paper\backend\app\services\kb\extractors\word_extractor.py", "Python", 21, 0, 0, 0, 6, 27
"d:\Exam-paper\backend\app\services\kb\ingest_service.py", "Python", 114, 0, 0, 0, 8, 122
"d:\Exam-paper\backend\app\services\kb\rag_service.py", "Python", 179, 0, 0, 431, 14, 624
"d:\Exam-paper\backend\app\services\kb\rate_limiter.py", "Python", 30, 0, 0, 0, 5, 35
"d:\Exam-paper\backend\app\services\kb\repository.py", "Python", 259, 0, 0, 94, 23, 376
"d:\Exam-paper\backend\app\services\kb\types.py", "Python", 35, 0, 0, 0, 8, 43
"d:\Exam-paper\backend\app\services\legend_service.py", "Python", 110, 0, 0, 12, 25, 147
"d:\Exam-paper\backend\app\services\mindmap\__init__.py", "Python", 2, 0, 0, 0, 2, 4
"d:\Exam-paper\backend\app\services\mindmap\binding.py", "Python", 130, 0, 0, 0, 28, 158
"d:\Exam-paper\backend\app\services\mindmap\generation.py", "Python", 249, 0, 0, 246, 38, 533
"d:\Exam-paper\backend\app\services\mindmap\repository.py", "Python", 130, 0, 0, 0, 14, 144
"d:\Exam-paper\backend\app\services\mindmap\schemas.py", "Python", 118, 0, 0, 0, 46, 164
"d:\Exam-paper\backend\app\services\mindmap\service.py", "Python", 632, 0, 0, 0, 38, 670
"d:\Exam-paper\backend\app\services\ocr_service.py", "Python", 269, 0, 0, 13, 33, 315
"d:\Exam-paper\backend\app\services\question_service.py", "Python", 83, 0, 0, 31, 15, 129
"d:\Exam-paper\backend\app\services\question_type_service.py", "Python", 75, 0, 0, 44, 18, 137
"d:\Exam-paper\backend\app\services\question_vector_service.py", "Python", 65, 0, 0, 10, 13, 88
"d:\Exam-paper\backend\app\services\qwen_client.py", "Python", 887, 0, 0, 16, 86, 989
"d:\Exam-paper\backend\app\services\similar_question_tool.py", "Python", 274, 0, 0, 47, 282, 603
"d:\Exam-paper\backend\app\services\subject_service.py", "Python", 75, 0, 0, 44, 18, 137
"d:\Exam-paper\backend\app\services\tag_service.py", "Python", 86, 0, 0, 53, 20, 159
"d:\Exam-paper\backend\app\services\translation_quota.py", "Python", 45, 0, 0, 0, 12, 57
"d:\Exam-paper\backend\app\services\translation_service.py", "Python", 489, 0, 0, 0, 49, 538
"d:\Exam-paper\backend\app\services\workroom\__init__.py", "Python", 2, 0, 0, 0, 2, 4
"d:\Exam-paper\backend\app\services\workroom\repository.py", "Python", 211, 0, 0, 134, 18, 363
"d:\Exam-paper\backend\app\services\workroom\service.py", "Python", 124, 0, 0, 0, 14, 138
"d:\Exam-paper\backend\app\services\workroom_scope_service.py", "Python", 49, 0, 0, 1, 14, 64
"d:\Exam-paper\backend\app\services\workspace\__init__.py", "Python", 2, 0, 0, 0, 2, 4
"d:\Exam-paper\backend\app\services\workspace\repository.py", "Python", 262, 0, 0, 215, 11, 488
"d:\Exam-paper\backend\app\services\workspace\service.py", "Python", 102, 0, 0, 0, 12, 114
"d:\Exam-paper\backend\app\state_models.py", "Python", 80, 0, 0, 0, 14, 94
"d:\Exam-paper\backend\app\tasks.py", "Python", 135, 0, 0, 6, 25, 166
"d:\Exam-paper\backend\app\utils\rate_limiter.py", "Python", 30, 0, 0, 7, 13, 50
"d:\Exam-paper\backend\db\add_preview_path.py", "Python", 43, 0, 0, 0, 11, 54
"d:\Exam-paper\backend\db\init_db.py", "Python", 43, 0, 0, 0, 14, 57
"d:\Exam-paper\backend\db\migrations\20240104_add_question_state.sql", "MS SQL", 0, 0, 72, 7, 8, 87
"d:\Exam-paper\backend\db\migrations\20250106_add_question_versions.sql", "MS SQL", 0, 0, 16, 2, 6, 24
"d:\Exam-paper\backend\db\migrations\20250107_add_question_group_id.sql", "MS SQL", 0, 0, 17, 3, 7, 27
"d:\Exam-paper\backend\db\migrations\20250108_add_document_mindmap_cache.sql", "MS SQL", 0, 0, 3, 1, 1, 5
"d:\Exam-paper\backend\db\migrations\20250108_add_fulltext_blocks.sql", "MS SQL", 0, 0, 13, 0, 2, 15
"d:\Exam-paper\backend\db\migrations\20250112_create_mindmaps_table.sql", "MS SQL", 0, 0, 22, 0, 2, 24
"d:\Exam-paper\backend\db\migrations\20250116_add_max_favorite_questions_to_plans.sql", "MS SQL", 0, 0, 1, 6, 3, 10
"d:\Exam-paper\backend\db\migrations\20250116_create_question_favorites.sql", "MS SQL", 0, 0, 19, 5, 5, 29
"d:\Exam-paper\backend\db\migrations\20250118_add_favorite_metadata.sql", "MS SQL", 0, 0, 40, 7, 10, 57
"d:\Exam-paper\backend\db\migrations\20250118_add_favorite_metadata_fk.sql", "MS SQL", 0, 0, 4, 3, 3, 10
"d:\Exam-paper\backend\db\migrations\20250119_add_question_indexes.sql", "MS SQL", 0, 0, 2, 6, 3, 11
"d:\Exam-paper\backend\db\migrations\20250120_add_agent_session_meta.sql", "MS SQL", 0, 0, 6, 6, 2, 14
"d:\Exam-paper\backend\db\migrations\20250209_add_file_ocr_cache_versioning.sql", "MS SQL", 0, 0, 11, 4, 4, 19
"d:\Exam-paper\backend\db\migrations\20250209_add_flashcard_core_tables.sql", "MS SQL", 0, 0, 51, 2, 8, 61
"d:\Exam-paper\backend\db\migrations\20250209_add_question_answer_fields.sql", "MS SQL", 0, 0, 4, 1, 1, 6
"d:\Exam-paper\backend\db\migrations\20260214_add_question_catalogs.sql", "MS SQL", 0, 0, 13, 0, 1, 14
"d:\Exam-paper\backend\db\migrations\20260318_agent_sessions_document_nullable.sql", "MS SQL", 0, 0, 4, 3, 5, 12
"d:\Exam-paper\backend\db\migrations\20260318_alter_kb_chunks_block_index_nullable.sql", "MS SQL", 0, 0, 2, 2, 3, 7
"d:\Exam-paper\backend\db\migrations\20260318_create_workspaces_and_link_workrooms.sql", "MS SQL", 0, 0, 30, 0, 5, 35
"d:\Exam-paper\backend\db\migrations\20260318_rename_workspace_document_to_studio_document.sql", "MS SQL", 0, 0, 38, 0, 2, 40
"d:\Exam-paper\backend\db\migrations\20260319_add_kb_units_and_embeddings.sql", "MS SQL", 0, 0, 50, 0, 8, 58
"d:\Exam-paper\backend\db\migrations\20260320_drop_document_mindmap_cache.sql", "MS SQL", 0, 0, 3, 0, 1, 4
"d:\Exam-paper\backend\db\migrations\20260321_add_workroom_id_to_mindmaps.sql", "MS SQL", 0, 0, 19, 0, 4, 23
"d:\Exam-paper\backend\db\migrations\20260321_create_bailian_file_registry.sql", "MS SQL", 0, 0, 20, 0, 3, 23
"d:\Exam-paper\backend\db\migrations\20260322_add_source_signature_to_mindmaps.sql", "MS SQL", 0, 0, 5, 0, 3, 8
"d:\Exam-paper\backend\db\schema.sql", "MS SQL", 0, 0, 197, 13, 15, 225
"d:\Exam-paper\backend\docs\2025年高考全国一卷数学真题_docling_dump.md", "Markdown", 0, 144, 0, 23, 106, 273
"d:\Exam-paper\backend\docs\MEMORY_BUS_IMPLEMENTATION_STATUS.md", "Markdown", 0, 0, 0, 0, 1, 1
"d:\Exam-paper\backend\docs\POSTGRES_MIGRATION_GUIDE.md", "Markdown", 0, 234, 0, 0, 80, 314
"d:\Exam-paper\backend\docs\SESSION_STATE_DELTA_PROTOCOL.md", "Markdown", 0, 224, 0, 0, 70, 294
"d:\Exam-paper\backend\docs\ocr_result.md", "Markdown", 0, 48, 0, 0, 2, 50
"d:\Exam-paper\backend\inspect_db_schema.py", "Python", 140, 0, 0, 42, 47, 229
"d:\Exam-paper\backend\main.py", "Python", 112, 0, 0, 6, 24, 142
"d:\Exam-paper\backend\reset_password.py", "Python", 37, 0, 0, 9, 13, 59
"d:\Exam-paper\backend\run_migrations.py", "Python", 132, 0, 0, 18, 40, 190
"d:\Exam-paper\backend\scripts\apply_file_ocr_cache_versioning.py", "Python", 37, 0, 0, 7, 16, 60
"d:\Exam-paper\backend\scripts\apply_question_answer_fields.py", "Python", 41, 0, 0, 7, 16, 64
"d:\Exam-paper\backend\scripts\apply_schema.py", "Python", 74, 0, 0, 0, 23, 97
"d:\Exam-paper\backend\scripts\apply_sql_file.py", "Python", 25, 0, 0, 0, 13, 38
"d:\Exam-paper\backend\scripts\check_glm_cache_schema.py", "Python", 35, 0, 0, 6, 15, 56
"d:\Exam-paper\backend\scripts\clear_glm_ocr_cache.py", "Python", 51, 0, 0, 7, 18, 76
"d:\Exam-paper\backend\scripts\count_tokens.py", "Python", 57, 0, 0, 7, 14, 78
"d:\Exam-paper\backend\scripts\create_pg_extra_tables.py", "Python", 66, 0, 0, 13, 14, 93
